PROBE_ID	SEQ_ID	CHROMOSOME	POSITION	COUNT	LENGTH	GC
CHRXP149973089	MM6MSPIS00702049	chrX	149973089	1	50	0.2
CHR7P114202993	MM6MSPIS00297334	chr7	114202993	1	50	0.64
CHR7P135055023	MM6MSPIS00305262	chr7	135055023	1	50	0.34
CHRXP126297014	MM6MSPIS00697892	chrX	126297014	1	50	0.18
CHRXP07986558	MM6MSPIS00678655	chrX	7986558	1	50	0.68
CHR7P91819484	MM6MSPIS00290914	chr7	91819484	1	50	0.58
CHRXP34823588	MM6MSPIS00683216	chrX	34823588	1	50	0.24
CHRXP104555978	MM6MSPIS00695034	chrX	104555978	1	50	0.42
CHR7P128125246	MM6MSPIS00302639	chr7	128125246	1	50	0.46
CHR7P123560600	MM6MSPIS00300764	chr7	123560600	1	50	0.46
CHRXP99081884	MM6MSPIS00694156	chrX	99081884	1	50	0.34
CHR7P130938171	MM6MSPIS00303625	chr7	130938171	1	50	0.4
CHRXP51241555	MM6MSPIS00686027	chrX	51241555	1	50	0.4
CHR7P128141212	MM6MSPIS00302651	chr7	128141212	1	50	0.46
CHR7P94993044	MM6MSPIS00292339	chr7	94993044	1	50	0.34
CHR7P82318836	MM6MSPIS00289297	chr7	82318836	1	50	0.42
CHR7P75420320	MM6MSPIS00287986	chr7	75420320	1	50	0.58
CHR7P132620568	MM6MSPIS00304265	chr7	132620568	1	50	0.58
CHRXP18441122	MM6MSPIS00680497	chrX	18441122	1	50	0.38
CHR7P121250058	MM6MSPIS00299754	chr7	121250058	1	50	0.58
CHRXP54885637	MM6MSPIS00686657	chrX	54885637	1	50	0.46
CHRXP129910057	MM6MSPIS00698596	chrX	129910057	1	50	0.4
CHRXP105935247	MM6MSPIS00695202	chrX	105935247	1	50	0.46
CHR7P94663110	MM6MSPIS00292216	chr7	94663110	1	50	0.4
CHR7P59033446	MM6MSPIS00282989	chr7	59033446	1	50	0.44
CHR6P06632179	MM6MSPIS00230021	chr6	6632179	1	50	0.36
CHR7P120837233	MM6MSPIS00299446	chr7	120837233	1	50	0.44
CHR3P102446182	MM6MSPIS00119779	chr3	102446182	1	50	0.4
CHRXP46870866	MM6MSPIS00685228	chrX	46870866	1	50	0.28
CHRXP133977389	MM6MSPIS00699298	chrX	133977389	1	50	0.5
CHR7P114853981	MM6MSPIS00297512	chr7	114853981	1	50	0.48
CHRXP159694014	MM6MSPIS00703686	chrX	159694014	1	50	0.3
CHR7P95205403	MM6MSPIS00292468	chr7	95205403	1	50	0.4
CHRXP60183247	MM6MSPIS00687346	chrX	60183247	1	50	0.32
CHRXP33590159	MM6MSPIS00683065	chrX	33590159	1	50	0.32
CHRXP31716426	MM6MSPIS00682610	chrX	31716426	1	50	0.56
CHRXP05944987	MM6MSPIS00677928	chrX	5944987	1	50	0.52
CHRXP132460375	MM6MSPIS00699017	chrX	132460375	1	50	0.26
CHR7P120878829	MM6MSPIS00299481	chr7	120878829	1	50	0.64
CHRXP72498735	MM6MSPIS00689589	chrX	72498735	1	50	0.32
CHR7P104582642	MM6MSPIS00294655	chr7	104582642	1	50	0.46
CHR7P137901839	MM6MSPIS00306570	chr7	137901839	1	50	0.5
CHRXP86758965	MM6MSPIS00691487	chrX	86758965	1	50	0.26
CHR7P66292037	MM6MSPIS00285187	chr7	66292037	1	50	0.48
CHR7P61004048	MM6MSPIS00283841	chr7	61004048	1	50	0.4
CHRXP54401425	MM6MSPIS00686574	chrX	54401425	1	50	0.32
CHR6P03164536	MM6MSPIS00229162	chr6	3164536	1	50	0.32
CHRXP99753156	MM6MSPIS00694295	chrX	99753156	1	50	0.52
CHR7P119934039	MM6MSPIS00298964	chr7	119934039	1	50	0.54
CHR7P63055829	MM6MSPIS00284612	chr7	63055829	1	50	0.38
CHRXP136503671	MM6MSPIS00699751	chrX	136503671	1	50	0.46
CHR7P85053325	MM6MSPIS00289801	chr7	85053325	1	50	0.46
CHR6P06315596	MM6MSPIS00229952	chr6	6315596	1	50	0.54
CHR7P127143283	MM6MSPIS00302215	chr7	127143283	1	50	0.44
CHR7P66634610	MM6MSPIS00285250	chr7	66634610	1	50	0.4
CHRXP127488186	MM6MSPIS00698077	chrX	127488186	1	50	0.52
CHRXP96393216	MM6MSPIS00693449	chrX	96393216	1	50	0.52
CHR7P107460646	MM6MSPIS00295603	chr7	107460646	1	50	0.44
CHR7P61883942	MM6MSPIS00284220	chr7	61883942	1	50	0.26
CHRXP96582259	MM6MSPIS00693505	chrX	96582259	1	50	0.38
CHR7P117348187	MM6MSPIS00298316	chr7	117348187	1	50	0.42
CHR7P86743044	MM6MSPIS00290008	chr7	86743044	1	50	0.42
CHRXP133698217	MM6MSPIS00699234	chrX	133698217	1	50	0.48
CHR6P07755648	MM6MSPIS00230316	chr6	7755648	1	50	0.6
CHR7P128717098	MM6MSPIS00302814	chr7	128717098	1	50	0.52
CHRXP97355386	MM6MSPIS00693710	chrX	97355386	1	50	0.5
CHR12P105001660	MM6MSPIS00491636	chr12	105001660	1	50	0.48
CHRXP43055814	MM6MSPIS00684433	chrX	43055814	1	50	0.38
CHR7P106806757	MM6MSPIS00295415	chr7	106806757	1	50	0.38
CHR7P112320899	MM6MSPIS00296758	chr7	112320899	1	50	0.5
CHR7P61119625	MM6MSPIS00283885	chr7	61119625	1	50	0.42
CHR7P111512367	MM6MSPIS00296550	chr7	111512367	1	50	0.48
CHRXP09506513	MM6MSPIS00678881	chrX	9506513	1	50	0.42
CHR7P92627622	MM6MSPIS00291240	chr7	92627622	1	50	0.6
CHRXP86698080	MM6MSPIS00691476	chrX	86698080	1	50	0.46
CHRXP88848000	MM6MSPIS00691874	chrX	88848000	1	50	0.36
CHRXP09636413	MM6MSPIS00678903	chrX	9636413	1	50	0.36
CHRXP16466458	MM6MSPIS00680232	chrX	16466458	1	50	0.34
CHRXP59418432	MM6MSPIS00687247	chrX	59418432	1	50	0.36
CHRXP98994278	MM6MSPIS00694149	chrX	98994278	1	50	0.3
CHRXP93825179	MM6MSPIS00692776	chrX	93825179	1	50	0.52
CHR7P103602713	MM6MSPIS00294339	chr7	103602713	1	50	0.38
CHR7P86485990	MM6MSPIS00289964	chr7	86485990	1	50	0.38
CHR7P72508192	MM6MSPIS00286405	chr7	72508192	1	50	0.44
CHR6P04226315	MM6MSPIS00229347	chr6	4226315	1	50	0.26
CHR7P139081456	MM6MSPIS00307047	chr7	139081456	1	50	0.5
CHRXP67575485	MM6MSPIS00688390	chrX	67575485	1	50	0.5
CHRXP35815202	MM6MSPIS00683306	chrX	35815202	1	50	0.52
CHR7P131686979	MM6MSPIS00303975	chr7	131686979	1	50	0.56
CHRXP122020511	MM6MSPIS00697456	chrX	122020511	1	50	0.34
CHR7P94266153	MM6MSPIS00292035	chr7	94266153	1	49	0.76
CHRXP70239105	MM6MSPIS00689164	chrX	70239105	1	50	0.24
CHR7P120820023	MM6MSPIS00299432	chr7	120820023	1	50	0.44
CHR7P109440501	MM6MSPIS00296002	chr7	109440501	1	50	0.42
CHRXP140958732	MM6MSPIS00700343	chrX	140958732	1	50	0.28
CHRXP156537274	MM6MSPIS00703158	chrX	156537274	1	50	0.42
CHRXP37041657	MM6MSPIS00683545	chrX	37041657	1	50	0.4
CHR19P56448825	MM6MSPIS00675935	chr19	56448825	1	50	0.54
CHR7P68010802	MM6MSPIS00285753	chr7	68010802	1	50	0.4
CHR7P135741928	MM6MSPIS00305635	chr7	135741928	1	50	0.52
CHR7P59583552	MM6MSPIS00283203	chr7	59583552	1	50	0.44
CHRXP129941967	MM6MSPIS00698607	chrX	129941967	1	50	0.48
CHRXP93882296	MM6MSPIS00692790	chrX	93882296	1	50	0.62
CHR7P120376461	MM6MSPIS00299165	chr7	120376461	1	50	0.36
CHR7P63859813	MM6MSPIS00284732	chr7	63859813	1	50	0.44
CHR7P106187471	MM6MSPIS00295134	chr7	106187471	1	50	0.62
CHR7P62635097	MM6MSPIS00284538	chr7	62635097	1	50	0.36
CHR6P03257926	MM6MSPIS00229192	chr6	3257926	1	50	0.36
CHR6P04137214	MM6MSPIS00229331	chr6	4137214	1	50	0.32
CHR7P87330009	MM6MSPIS00290110	chr7	87330009	1	50	0.38
CHR2P177999858	MM6MSPIS00096110	chr2	177999858	1	50	0.5
CHRXP31991087	MM6MSPIS00682696	chrX	31991087	1	50	0.38
CHR7P107619035	MM6MSPIS00295643	chr7	107619035	1	50	0.7
CHR7P125006909	MM6MSPIS00301365	chr7	125006909	1	50	0.52
CHR7P95770435	MM6MSPIS00292692	chr7	95770435	1	50	0.62
CHRXP68610257	MM6MSPIS00688740	chrX	68610257	1	50	0.58
CHRXP145729097	MM6MSPIS00701349	chrX	145729097	1	50	0.4
CHR7P138116897	MM6MSPIS00306642	chr7	138116897	1	50	0.42
CHR7P76571704	MM6MSPIS00288380	chr7	76571704	1	50	0.46
CHRXP93686646	MM6MSPIS00692713	chrX	93686646	1	50	0.36
CHR7P106473799	MM6MSPIS00295266	chr7	106473799	1	50	0.42
CHR7P105611170	MM6MSPIS00294963	chr7	105611170	1	50	0.52
CHR7P97338569	MM6MSPIS00293162	chr7	97338569	1	50	0.26
CHRXP06894780	MM6MSPIS00678393	chrX	6894780	1	50	0.52
CHR7P60464783	MM6MSPIS00283647	chr7	60464783	1	50	0.46
CHRXP09340269	MM6MSPIS00678853	chrX	9340269	1	50	0.48
CHR7P115777244	MM6MSPIS00297803	chr7	115777244	1	50	0.62
CHR11P82442926	MM6MSPIS00444540	chr11	82442926	1	50	0.52
CHRXP147010625	MM6MSPIS00701623	chrX	147010625	1	50	0.32
CHR7P139152376	MM6MSPIS00307088	chr7	139152376	1	50	0.48
CHR7P138145533	MM6MSPIS00306656	chr7	138145533	1	50	0.48
CHRXP153527403	MM6MSPIS00702633	chrX	153527403	1	50	0.48
CHR7P137012979	MM6MSPIS00306232	chr7	137012979	1	50	0.6
CHRXP97108772	MM6MSPIS00693656	chrX	97108772	1	50	0.38
CHRXP10279292	MM6MSPIS00679144	chrX	10279292	1	50	0.32
CHRXP88986782	MM6MSPIS00691915	chrX	88986782	1	50	0.34
CHR7P124659516	MM6MSPIS00301159	chr7	124659516	1	50	0.48
CHR7P124379403	MM6MSPIS00301063	chr7	124379403	1	50	0.48
CHR6P125962929	MM6MSPIS00258397	chr6	125962929	1	50	0.52
CHR6P08249252	MM6MSPIS00230405	chr6	8249252	1	50	0.36
CHR7P74407508	MM6MSPIS00287549	chr7	74407508	1	50	0.48
CHR7P59432620	MM6MSPIS00283151	chr7	59432620	1	50	0.34
CHR7P72470977	MM6MSPIS00286390	chr7	72470977	1	50	0.38
CHR7P134511637	MM6MSPIS00305121	chr7	134511637	1	50	0.42
CHRXP66287854	MM6MSPIS00688170	chrX	66287854	1	50	0.48
CHR7P111387182	MM6MSPIS00296509	chr7	111387182	1	50	0.44
CHRXP05397436	MM6MSPIS00677771	chrX	5397436	1	50	0.42
CHR15P97139633	MM6MSPIS00578116	chr15	97139633	1	50	0.32
CHR7P113615747	MM6MSPIS00297195	chr7	113615747	1	50	0.56
CHR12P105881324	MM6MSPIS00492092	chr12	105881324	1	50	0.36
CHRXP135095648	MM6MSPIS00699481	chrX	135095648	1	50	0.4
CHR17P11211081	MM6MSPIS00607880	chr17	11211081	1	50	0.48
CHR7P103916166	MM6MSPIS00294446	chr7	103916166	1	50	0.44
CHRXP18300300	MM6MSPIS00680484	chrX	18300300	1	50	0.44
CHRXP04342371	MM6MSPIS00677615	chrX	4342371	1	50	0.44
CHRXP89767469	MM6MSPIS00692072	chrX	89767469	1	50	0.44
CHRXP133823531	MM6MSPIS00699257	chrX	133823531	1	50	0.56
CHR7P95008722	MM6MSPIS00292358	chr7	95008722	1	50	0.32
CHR7P122126440	MM6MSPIS00300307	chr7	122126440	1	50	0.48
