SEQ_ID	CHROMOSOME	START	STOP	SEQ_LENGTH	REPEATS
MM6MSPIS00686961	chrX	56865266	56865911	646	445
MM6MSPIS00298669	chr7	119243415	119244908	1494	432
MM6MSPIS00289738	chr7	84507214	84508050	837	205
MM6MSPIS00303070	chr7	129431571	129431809	239	0
MM6MSPIS00229984	chr6	6479577	6481085	1509	19
MM6MSPIS00684522	chrX	43421440	43422744	1305	755
MM6MSPIS00699846	chrX	137052529	137053251	723	400
MM6MSPIS00096099	chr2	177964471	177966304	1834	167
MM6MSPIS00294359	chr7	103678276	103678501	226	0
MM6MSPIS00608113	chr17	11863196	11863888	693	355
MM6MSPIS00686182	chrX	52144793	52145423	631	142
MM6MSPIS00680685	chrX	19159598	19160054	457	0
MM6MSPIS00295706	chr7	107886791	107888071	1281	524
MM6MSPIS00679049	chrX	10042245	10042671	427	67
MM6MSPIS00700333	chrX	140802049	140803473	1425	146
MM6MSPIS00290913	chr7	91818427	91819333	907	161
MM6MSPIS00304232	chr7	132455054	132456385	1332	330
MM6MSPIS00282331	chr7	56537994	56538443	450	209
MM6MSPIS00677946	chrX	5965254	5965531	278	0
MM6MSPIS00306435	chr7	137558757	137559818	1062	0
MM6MSPIS00298262	chr7	117212608	117213354	747	161
MM6MSPIS00284400	chr7	62202552	62202973	422	74
MM6MSPIS00291015	chr7	92151875	92153137	1263	83
MM6MSPIS00298948	chr7	119897156	119898948	1793	217
MM6MSPIS00691916	chrX	88987088	88988020	933	321
MM6MSPIS00697907	chrX	126439556	126441469	1914	468
MM6MSPIS00302449	chr7	127627677	127628266	590	86
MM6MSPIS00301556	chr7	125377549	125378532	984	0
MM6MSPIS00294850	chr7	105109225	105110067	843	114
MM6MSPIS00700212	chrX	139824444	139825055	612	260
MM6MSPIS00300676	chr7	123162172	123164050	1879	217
MM6MSPIS00266348	chr7	5230952	5232203	1252	827
MM6MSPIS00286816	chr7	73296301	73296569	269	0
MM6MSPIS00238572	chr6	49617054	49618329	1276	133
MM6MSPIS00230485	chr6	8617486	8619015	1530	107
MM6MSPIS00679333	chrX	10571287	10571819	533	197
MM6MSPIS00298282	chr7	117270472	117272155	1684	190
MM6MSPIS00298407	chr7	117641247	117641610	364	239
MM6MSPIS00690600	chrX	80229702	80230425	724	0
MM6MSPIS00680645	chrX	18968561	18969256	696	323
MM6MSPIS00288005	chr7	75435206	75435525	320	59
MM6MSPIS00302287	chr7	127368949	127369278	330	0
MM6MSPIS00299874	chr7	121443466	121443783	318	0
MM6MSPIS00299021	chr7	120052470	120052730	261	0
MM6MSPIS00307238	chr7	139392450	139392783	334	0
MM6MSPIS00689450	chrX	71687924	71688738	815	678
MM6MSPIS00301832	chr7	126190098	126191460	1363	473
MM6MSPIS00304578	chr7	133543551	133544300	750	61
MM6MSPIS00297819	chr7	115812775	115813163	389	0
MM6MSPIS00691250	chrX	85709503	85710209	707	28
MM6MSPIS00288623	chr7	77610392	77611184	793	522
MM6MSPIS00689297	chrX	70856669	70857319	651	404
MM6MSPIS00297208	chr7	113640763	113641464	702	402
MM6MSPIS00295395	chr7	106787485	106788058	574	105
MM6MSPIS00292805	chr7	96004699	96006403	1705	221
MM6MSPIS00294596	chr7	104460839	104462159	1321	638
MM6MSPIS00299782	chr7	121285223	121285429	207	0
MM6MSPIS00299628	chr7	121083247	121084320	1074	0
MM6MSPIS00695186	chrX	105782796	105783025	230	113
MM6MSPIS00283416	chr7	59965590	59965878	289	0
MM6MSPIS00287426	chr7	74206460	74208085	1626	201
MM6MSPIS00688898	chrX	69090410	69092163	1754	1071
MM6MSPIS00688178	chrX	66328779	66330509	1731	319
MM6MSPIS00307313	chr7	139579743	139580985	1243	348
MM6MSPIS00295542	chr7	107129770	107131604	1835	836
MM6MSPIS00679836	chrX	13429393	13430512	1120	250
MM6MSPIS00687067	chrX	57775479	57775889	411	232
MM6MSPIS00295929	chr7	109182321	109182757	437	0
MM6MSPIS00304143	chr7	132113838	132115451	1614	0
MM6MSPIS00697446	chrX	121899020	121900725	1706	1129
MM6MSPIS00685115	chrX	46418870	46420336	1467	771
MM6MSPIS00697579	chrX	123042600	123043987	1388	1190
MM6MSPIS00685335	chrX	47440288	47441952	1665	595
MM6MSPIS00303814	chr7	131447834	131448111	278	0
MM6MSPIS00541816	chr14	64637742	64638421	680	265
MM6MSPIS00305155	chr7	134561162	134561578	417	0
MM6MSPIS00296171	chr7	110124197	110124441	245	0
MM6MSPIS00284309	chr7	62072988	62073555	568	7
MM6MSPIS00096139	chr2	178142222	178143851	1630	855
MM6MSPIS00686436	chrX	53274148	53274904	757	262
MM6MSPIS00677952	chrX	5972062	5972301	240	0
MM6MSPIS00300229	chr7	121974729	121975702	974	77
MM6MSPIS00296688	chr7	112149090	112150970	1881	1007
MM6MSPIS00679526	chrX	11223693	11225623	1931	796
MM6MSPIS00683340	chrX	36023601	36025496	1896	591
MM6MSPIS00306091	chr7	136795774	136796825	1052	0
MM6MSPIS00684291	chrX	42799356	42799844	489	103
MM6MSPIS00682614	chrX	31723153	31724967	1815	725
MM6MSPIS00682365	chrX	30872280	30873612	1333	394
MM6MSPIS00686053	chrX	51423332	51424090	759	158
MM6MSPIS00292932	chr7	96219739	96220297	559	0
MM6MSPIS00294562	chr7	104193268	104194525	1258	0
MM6MSPIS00684473	chrX	43214026	43215778	1753	822
MM6MSPIS00702988	chrX	155881302	155882411	1110	439
MM6MSPIS00297838	chr7	115855389	115855756	368	0
MM6MSPIS00229818	chr6	5856147	5857429	1283	163
MM6MSPIS00296867	chr7	112578411	112578786	376	196
MM6MSPIS00284404	chr7	62205933	62206672	740	392
MM6MSPIS00295871	chr7	108726110	108726495	386	0
MM6MSPIS00286545	chr7	72777585	72779573	1989	656
MM6MSPIS00301916	chr7	126419215	126420442	1228	297
MM6MSPIS00286959	chr7	73518403	73519631	1229	249
MM6MSPIS00285253	chr7	66656049	66656692	644	100
MM6MSPIS00303174	chr7	129748694	129750381	1688	473
MM6MSPIS00679124	chrX	10239978	10240461	484	0
MM6MSPIS00286688	chr7	73102413	73104047	1635	257
MM6MSPIS00298739	chr7	119443011	119444401	1391	281
MM6MSPIS00300118	chr7	121840434	121840773	340	178
MM6MSPIS00677850	chrX	5817017	5818948	1932	241
MM6MSPIS00698359	chrX	128554851	128555656	806	427
MM6MSPIS00702509	chrX	152971862	152972112	251	0
MM6MSPIS00701359	chrX	145766652	145767216	565	83
MM6MSPIS00680860	chrX	20437598	20439458	1861	318
MM6MSPIS00702049	chrX	149972793	149973189	397	197
MM6MSPIS00297334	chr7	114202643	114203265	623	25
MM6MSPIS00305262	chr7	135054594	135055565	972	345
MM6MSPIS00697892	chrX	126296785	126298138	1354	767
MM6MSPIS00678655	chrX	7986518	7986719	202	0
MM6MSPIS00290914	chr7	91819334	91819799	466	152
MM6MSPIS00683216	chrX	34822825	34824105	1281	1009
MM6MSPIS00695034	chrX	104555566	104557369	1804	788
MM6MSPIS00302639	chr7	128125021	128126654	1634	568
MM6MSPIS00300764	chr7	123559547	123560858	1312	192
MM6MSPIS00694156	chrX	99081744	99082368	625	148
MM6MSPIS00303625	chr7	130938151	130938391	241	0
MM6MSPIS00686027	chrX	51240622	51242246	1625	488
MM6MSPIS00302651	chr7	128140620	128141270	651	204
MM6MSPIS00292339	chr7	94992626	94993660	1035	140
MM6MSPIS00289297	chr7	82317555	82319540	1986	273
MM6MSPIS00287986	chr7	75419960	75420371	412	203
MM6MSPIS00304265	chr7	132620057	132621140	1084	0
MM6MSPIS00680497	chrX	18440195	18441426	1232	1091
MM6MSPIS00299754	chr7	121249608	121251330	1723	408
MM6MSPIS00686657	chrX	54885198	54886404	1207	524
MM6MSPIS00698596	chrX	129909799	129910829	1031	390
MM6MSPIS00695202	chrX	105934709	105935386	678	189
MM6MSPIS00292216	chr7	94662774	94664612	1839	1249
MM6MSPIS00282989	chr7	59033019	59034252	1234	267
MM6MSPIS00230021	chr6	6632149	6632357	209	0
MM6MSPIS00299446	chr7	120837023	120837310	288	0
MM6MSPIS00119779	chr3	102446037	102446636	600	199
MM6MSPIS00685228	chrX	46869880	46871418	1539	497
MM6MSPIS00699298	chrX	133977329	133977670	342	0
MM6MSPIS00297512	chr7	114853871	114854854	984	521
MM6MSPIS00703686	chrX	159692489	159694242	1754	1516
MM6MSPIS00292468	chr7	95205183	95206516	1334	718
MM6MSPIS00687346	chrX	60182689	60183538	850	608
MM6MSPIS00683065	chrX	33589723	33590405	683	411
MM6MSPIS00682610	chrX	31716336	31717391	1056	556
MM6MSPIS00677928	chrX	5944427	5945088	662	0
MM6MSPIS00699017	chrX	132460080	132460450	371	0
MM6MSPIS00299481	chr7	120878671	120878905	235	106
MM6MSPIS00689589	chrX	72498434	72499984	1551	682
MM6MSPIS00294655	chr7	104581305	104582886	1582	641
MM6MSPIS00306570	chr7	137900010	137901938	1929	1254
MM6MSPIS00691487	chrX	86758849	86760040	1192	977
MM6MSPIS00285187	chr7	66291812	66292658	847	152
MM6MSPIS00283841	chr7	61003222	61004215	994	485
MM6MSPIS00686574	chrX	54400876	54401676	801	703
MM6MSPIS00229162	chr6	3163828	3164868	1041	698
MM6MSPIS00694295	chrX	99752466	99753569	1104	285
MM6MSPIS00298964	chr7	119933293	119934577	1285	542
MM6MSPIS00284612	chr7	63055609	63056523	915	61
MM6MSPIS00699751	chrX	136503059	136503973	915	196
MM6MSPIS00289801	chr7	85052731	85054196	1466	701
MM6MSPIS00229952	chr6	6315566	6316841	1276	227
MM6MSPIS00302215	chr7	127142833	127144424	1592	0
MM6MSPIS00285250	chr7	66633539	66634828	1290	1017
MM6MSPIS00698077	chrX	127487936	127488507	572	0
MM6MSPIS00693449	chrX	96392586	96394249	1664	59
MM6MSPIS00295603	chr7	107459326	107460703	1378	0
MM6MSPIS00284220	chr7	61883595	61884602	1008	220
MM6MSPIS00693505	chrX	96582019	96582371	353	0
MM6MSPIS00298316	chr7	117347405	117348442	1038	224
MM6MSPIS00290008	chr7	86742458	86743443	986	259
MM6MSPIS00699234	chrX	133697727	133698767	1041	674
MM6MSPIS00230316	chr6	7754188	7755929	1742	452
MM6MSPIS00302814	chr7	128716838	128717428	591	0
MM6MSPIS00693710	chrX	97354919	97355511	593	38
MM6MSPIS00491636	chr12	105001560	105001958	399	0
MM6MSPIS00684433	chrX	43055563	43056013	451	137
MM6MSPIS00295415	chr7	106806613	106807447	835	44
MM6MSPIS00296758	chr7	112320762	112321889	1128	251
MM6MSPIS00283885	chr7	61119429	61120004	576	136
MM6MSPIS00296550	chr7	111511577	111512952	1376	0
MM6MSPIS00678881	chrX	9506463	9506796	334	0
MM6MSPIS00291240	chr7	92626873	92627851	979	346
MM6MSPIS00691476	chrX	86697170	86698338	1169	0
MM6MSPIS00691874	chrX	88847760	88848822	1063	715
MM6MSPIS00678903	chrX	9636170	9637255	1086	193
MM6MSPIS00680232	chrX	16465548	16466728	1181	364
MM6MSPIS00687247	chrX	59417927	59418953	1027	475
MM6MSPIS00694149	chrX	98994278	98994633	356	101
MM6MSPIS00692776	chrX	93825159	93825641	483	157
MM6MSPIS00294339	chr7	103602703	103604689	1987	133
MM6MSPIS00289964	chr7	86485322	86486078	757	660
MM6MSPIS00286405	chr7	72507892	72508531	640	130
MM6MSPIS00229347	chr6	4225745	4226630	886	0
MM6MSPIS00307047	chr7	139081386	139081685	300	0
MM6MSPIS00688390	chrX	67575097	67575689	593	67
MM6MSPIS00683306	chrX	35815012	35815417	406	0
MM6MSPIS00303975	chr7	131686889	131687205	317	0
MM6MSPIS00697456	chrX	122019465	122020649	1185	932
MM6MSPIS00292035	chr7	94265973	94266202	230	0
MM6MSPIS00689164	chrX	70238692	70239155	464	39
MM6MSPIS00299432	chr7	120819449	120820559	1111	227
MM6MSPIS00296002	chr7	109440001	109440672	672	0
MM6MSPIS00700343	chrX	140958319	140959091	773	199
MM6MSPIS00703158	chrX	156536672	156537326	655	435
MM6MSPIS00683545	chrX	37041507	37041809	303	0
MM6MSPIS00675935	chr19	56448495	56449019	525	0
MM6MSPIS00285753	chr7	68009170	68010888	1719	225
MM6MSPIS00305635	chr7	135741748	135742262	515	0
MM6MSPIS00283203	chr7	59583322	59584468	1147	192
MM6MSPIS00698607	chrX	129941905	129942360	456	230
MM6MSPIS00692790	chrX	93882246	93882459	214	0
MM6MSPIS00299165	chr7	120376087	120377661	1575	779
MM6MSPIS00284732	chr7	63858429	63860119	1691	495
MM6MSPIS00295134	chr7	106187471	106188016	546	0
MM6MSPIS00284538	chr7	62634220	62635155	936	265
MM6MSPIS00229192	chr6	3256661	3258115	1455	0
MM6MSPIS00229331	chr6	4136954	4137464	511	0
MM6MSPIS00290110	chr7	87329195	87330182	988	698
MM6MSPIS00096110	chr2	177999278	178000013	736	0
MM6MSPIS00682696	chrX	31991017	31992629	1613	567
MM6MSPIS00295643	chr7	107618955	107619175	221	0
MM6MSPIS00301365	chr7	125006419	125007972	1554	24
MM6MSPIS00292692	chr7	95770395	95770757	363	0
MM6MSPIS00688740	chrX	68609837	68611194	1358	0
MM6MSPIS00701349	chrX	145728327	145729171	845	0
MM6MSPIS00306642	chr7	138116877	138117960	1084	148
MM6MSPIS00288380	chr7	76571625	76572929	1305	74
MM6MSPIS00692713	chrX	93686209	93687398	1190	471
MM6MSPIS00295266	chr7	106473799	106474553	755	408
MM6MSPIS00294963	chr7	105611160	105611562	403	215
MM6MSPIS00293162	chr7	97337491	97338921	1431	493
MM6MSPIS00678393	chrX	6894770	6895178	409	231
MM6MSPIS00283647	chr7	60464427	60464845	419	42
MM6MSPIS00678853	chrX	9340119	9342012	1894	308
MM6MSPIS00297803	chr7	115777134	115777374	241	0
MM6MSPIS00444540	chr11	82441908	82443780	1873	458
MM6MSPIS00701623	chrX	147010464	147011159	696	408
MM6MSPIS00307088	chr7	139152166	139152637	472	0
MM6MSPIS00306656	chr7	138145393	138145906	514	84
MM6MSPIS00702633	chrX	153527078	153527595	518	146
MM6MSPIS00306232	chr7	137012889	137013093	205	0
MM6MSPIS00693656	chrX	97108762	97109074	313	0
MM6MSPIS00679144	chrX	10278136	10279572	1437	28
MM6MSPIS00691915	chrX	88986435	88986934	500	153
MM6MSPIS00301159	chr7	124659386	124659813	428	134
MM6MSPIS00301063	chr7	124379253	124379796	544	132
MM6MSPIS00258397	chr6	125962694	125963064	371	88
MM6MSPIS00230405	chr6	8248913	8249892	980	464
MM6MSPIS00287549	chr7	74406766	74407835	1070	0
MM6MSPIS00283151	chr7	59432460	59432702	243	0
MM6MSPIS00286390	chr7	72470361	72471880	1520	489
MM6MSPIS00305121	chr7	134511457	134511734	278	0
MM6MSPIS00688170	chrX	66287541	66288302	762	173
MM6MSPIS00296509	chr7	111386100	111387766	1667	470
MM6MSPIS00677771	chrX	5397326	5397668	343	0
MM6MSPIS00578116	chr15	97138182	97139832	1651	1014
MM6MSPIS00297195	chr7	113615632	113616038	407	25
MM6MSPIS00492092	chr12	105881006	105882218	1213	544
MM6MSPIS00699481	chrX	135094230	135096089	1860	380
MM6MSPIS00607880	chr17	11210761	11211147	387	0
MM6MSPIS00294446	chr7	103915134	103916936	1803	1034
MM6MSPIS00680484	chrX	18300136	18301274	1139	0
MM6MSPIS00677615	chrX	4342311	4342624	314	182
MM6MSPIS00692072	chrX	89767397	89767603	207	0
MM6MSPIS00699257	chrX	133823421	133823678	258	69
MM6MSPIS00292358	chr7	95007957	95009104	1148	672
MM6MSPIS00300307	chr7	122126347	122127116	770	630
MM6MSPIS00301697	chr7	125827498	125828249	752	266
MM6MSPIS00295463	chr7	106939760	106940560	801	135
MM6MSPIS00700078	chrX	138686150	138687816	1667	1397
MM6MSPIS00286919	chr7	73431512	73432273	762	438
MM6MSPIS00282824	chr7	58533093	58535062	1970	1128
MM6MSPIS00679739	chrX	12452475	12453422	948	837
MM6MSPIS00306031	chr7	136581226	136583142	1917	758
MM6MSPIS00296021	chr7	109649061	109650684	1624	352
MM6MSPIS00692825	chrX	93985280	93985684	405	83
MM6MSPIS00300859	chr7	123812572	123813778	1207	109
MM6MSPIS00284416	chr7	62233613	62234012	400	120
MM6MSPIS00306823	chr7	138586939	138587155	217	0
MM6MSPIS00682727	chrX	32097755	32098448	694	0
MM6MSPIS00300200	chr7	121944417	121944889	473	147
MM6MSPIS00679311	chrX	10527331	10528877	1547	387
MM6MSPIS00290777	chr7	91437344	91438315	972	118
MM6MSPIS00695195	chrX	105862314	105863063	750	0
MM6MSPIS00235502	chr6	35021779	35022287	509	0
MM6MSPIS00286698	chr7	73111592	73112206	615	0
MM6MSPIS00303740	chr7	131288045	131289906	1862	572
MM6MSPIS00291460	chr7	93051809	93052454	646	241
MM6MSPIS00285970	chr7	69202591	69203313	723	114
MM6MSPIS00684872	chrX	45147568	45148922	1355	370
MM6MSPIS00692702	chrX	93669979	93670758	780	0
MM6MSPIS00096078	chr2	177915256	177916063	808	580
MM6MSPIS00491896	chr12	105530364	105531193	830	592
MM6MSPIS00300077	chr7	121795414	121795820	407	0
MM6MSPIS00286548	chr7	72786360	72787287	928	63
MM6MSPIS00684951	chrX	45480349	45481095	747	525
MM6MSPIS00289532	chr7	83766155	83766877	723	265
MM6MSPIS00290194	chr7	88440590	88442244	1655	420
MM6MSPIS00285139	chr7	65987361	65988788	1428	269
MM6MSPIS00295365	chr7	106710349	106710618	270	0
MM6MSPIS00289594	chr7	83956677	83957218	542	287
MM6MSPIS00701591	chrX	146787220	146788386	1167	522
MM6MSPIS00693272	chrX	95920393	95920794	402	0
MM6MSPIS00491853	chr12	105433338	105433855	518	0
MM6MSPIS00295327	chr7	106626341	106627300	960	0
MM6MSPIS00286183	chr7	70806019	70806801	783	339
MM6MSPIS00286756	chr7	73194870	73195511	642	0
MM6MSPIS00682309	chrX	30547846	30548933	1088	193
MM6MSPIS00694943	chrX	103801770	103803282	1513	419
MM6MSPIS00680760	chrX	19601247	19601481	235	0
MM6MSPIS00284462	chr7	62310258	62310883	626	7
MM6MSPIS00689034	chrX	69501571	69502222	652	0
MM6MSPIS00286124	chr7	70208718	70209316	599	0
MM6MSPIS00287566	chr7	74441549	74441844	296	0
MM6MSPIS00300772	chr7	123584290	123585563	1274	47
MM6MSPIS00300754	chr7	123482155	123483567	1413	497
MM6MSPIS00302052	chr7	126782920	126783846	927	334
MM6MSPIS00229626	chr6	5225607	5226473	867	350
MM6MSPIS00307243	chr7	139405278	139406929	1652	273
MM6MSPIS00693884	chrX	98010179	98011529	1351	807
MM6MSPIS00702827	chrX	154745521	154747179	1659	625
MM6MSPIS00304590	chr7	133572116	133572334	219	0
MM6MSPIS00299106	chr7	120282245	120283741	1497	1135
MM6MSPIS00679788	chrX	12915839	12917222	1384	1039
MM6MSPIS00299475	chr7	120870754	120871347	594	216
MM6MSPIS00306911	chr7	138770155	138771100	946	286
MM6MSPIS00537005	chr14	50832993	50834965	1973	1091
MM6MSPIS00297278	chr7	113978119	113978341	223	0
MM6MSPIS00701320	chrX	145550844	145551049	206	0
MM6MSPIS00687812	chrX	63677379	63679350	1972	384
MM6MSPIS00230353	chr6	7914425	7914741	317	47
MM6MSPIS00289739	chr7	84510319	84510690	372	47
MM6MSPIS00306389	chr7	137453952	137455312	1361	0
MM6MSPIS00294484	chr7	104017430	104018162	733	86
MM6MSPIS00694382	chrX	100326651	100327993	1343	435
MM6MSPIS00703841	chrX	160372954	160374663	1710	688
MM6MSPIS00691788	chrX	88581531	88581959	429	0
MM6MSPIS00287360	chr7	74147997	74148427	431	95
MM6MSPIS00689703	chrX	73035886	73036268	383	108
MM6MSPIS00492043	chr12	105775406	105776139	734	501
MM6MSPIS00301035	chr7	124284968	124285413	446	108
MM6MSPIS00684179	chrX	42445948	42446548	601	491
MM6MSPIS00491965	chr12	105663717	105663951	235	0
MM6MSPIS00295851	chr7	108604332	108604823	492	0
MM6MSPIS00692924	chrX	94198216	94199610	1395	0
MM6MSPIS00295816	chr7	108277395	108278156	762	51
MM6MSPIS00686289	chrX	52676213	52676808	596	0
MM6MSPIS00295357	chr7	106679978	106680364	387	0
MM6MSPIS00286337	chr7	72302359	72303882	1524	350
MM6MSPIS00306693	chr7	138217979	138219015	1037	751
MM6MSPIS00294160	chr7	103070734	103071960	1227	58
MM6MSPIS00703680	chrX	159670744	159671504	761	605
MM6MSPIS00300405	chr7	122347840	122348727	888	185
MM6MSPIS00305508	chr7	135536779	135537448	670	74
MM6MSPIS00679538	chrX	11259323	11260724	1402	1118
MM6MSPIS00680485	chrX	18304509	18306426	1918	181
MM6MSPIS00290804	chr7	91510750	91512270	1521	804
MM6MSPIS00693943	chrX	98152307	98153488	1182	192
MM6MSPIS00700617	chrX	142274963	142276625	1663	204
MM6MSPIS00288525	chr7	77173889	77175713	1825	331
MM6MSPIS00284864	chr7	64388983	64389635	653	0
MM6MSPIS00701145	chrX	144576903	144578811	1909	1337
MM6MSPIS00702848	chrX	154922502	154923874	1373	188
MM6MSPIS00691065	chrX	84185446	84185996	551	333
MM6MSPIS00297897	chr7	116006082	116007363	1282	548
MM6MSPIS00678162	chrX	6296845	6297787	943	299
MM6MSPIS00298455	chr7	117832738	117833679	942	179
MM6MSPIS00282572	chr7	57713359	57713705	347	26
MM6MSPIS00229414	chr6	4478541	4479956	1416	47
MM6MSPIS00692910	chrX	94176960	94177288	329	24
MM6MSPIS00679693	chrX	12112059	12112913	855	509
MM6MSPIS00287445	chr7	74229201	74230359	1159	898
MM6MSPIS00680233	chrX	16469029	16469253	225	5
MM6MSPIS00684445	chrX	43115698	43116862	1165	575
MM6MSPIS00282479	chr7	57532575	57533152	578	0
MM6MSPIS00688092	chrX	65874662	65876538	1877	1544
MM6MSPIS00289382	chr7	83040477	83041514	1038	0
MM6MSPIS00285396	chr7	67112262	67113936	1675	1088
MM6MSPIS00694492	chrX	100744837	100745724	888	505
MM6MSPIS00288659	chr7	77754557	77755768	1212	0
